x0,x1,time,det_fi
"tf.Tensor(37.014587, shape=(), dtype=float32)","tf.Tensor(154.9673, shape=(), dtype=float32)",0.198,5598931.441865524
"tf.Tensor(37.169556, shape=(), dtype=float32)","tf.Tensor(148.5261, shape=(), dtype=float32)",0.199,6859152.746354152
"tf.Tensor(37.31808, shape=(), dtype=float32)","tf.Tensor(142.09343, shape=(), dtype=float32)",0.2,8390232.685915282
"tf.Tensor(37.460175, shape=(), dtype=float32)","tf.Tensor(135.67453, shape=(), dtype=float32)",0.201,10247615.14935042
"tf.Tensor(37.595848, shape=(), dtype=float32)","tf.Tensor(129.27455, shape=(), dtype=float32)",0.202,12497519.143399224
"tf.Tensor(37.725124, shape=(), dtype=float32)","tf.Tensor(122.89864, shape=(), dtype=float32)",0.203,15218919.405780494
"tf.Tensor(37.848022, shape=(), dtype=float32)","tf.Tensor(116.55192, shape=(), dtype=float32)",0.20400000000000001,18505869.732416514
"tf.Tensor(37.964573, shape=(), dtype=float32)","tf.Tensor(110.239456, shape=(), dtype=float32)",0.20500000000000002,22470224.502317075
"tf.Tensor(38.074814, shape=(), dtype=float32)","tf.Tensor(103.96628, shape=(), dtype=float32)",0.20600000000000002,27244822.235427924
"tf.Tensor(38.17878, shape=(), dtype=float32)","tf.Tensor(97.73737, shape=(), dtype=float32)",0.20700000000000002,32987204.49838314
"tf.Tensor(38.276516, shape=(), dtype=float32)","tf.Tensor(91.55768, shape=(), dtype=float32)",0.20800000000000002,39883954.26272362
"tf.Tensor(38.368073, shape=(), dtype=float32)","tf.Tensor(85.43207, shape=(), dtype=float32)",0.209,48155750.01229489
