x0,x1,time,det_fi,log_det,sensitivity_y
"tf.Tensor(0.362474500235369, shape=(), dtype=float64)","tf.Tensor(42.40111696465908, shape=(), dtype=float64)",0.058,"tf.Tensor(1.751648671328213e-05, shape=(), dtype=float64)","tf.Tensor(10.952368022628676, shape=(), dtype=float64)","tf.Tensor([[ 4.50257986e+02 -6.84872928e-02 -1.81780395e+04  1.11157520e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.40487561720002807, shape=(), dtype=float64)","tf.Tensor(45.78627013143916, shape=(), dtype=float64)",0.059000000000000004,"tf.Tensor(4.24857810244655e-05, shape=(), dtype=float64)","tf.Tensor(10.066341102143191, shape=(), dtype=float64)","tf.Tensor([[ 4.66434712e+02 -7.11436075e-02 -1.88287261e+04  1.15122586e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.4506618873314672, shape=(), dtype=float64)","tf.Tensor(49.293820160156926, shape=(), dtype=float64)",0.06,"tf.Tensor(0.00010423422965251014, shape=(), dtype=float64)","tf.Tensor(9.168869983044926, shape=(), dtype=float64)","tf.Tensor([[ 4.82499353e+02 -7.38191759e-02 -1.94746645e+04  1.19056528e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.49995570749162416, shape=(), dtype=float64)","tf.Tensor(52.92158457887795, shape=(), dtype=float64)",0.061,"tf.Tensor(0.00025699611126088343, shape=(), dtype=float64)","tf.Tensor(8.266449604464142, shape=(), dtype=float64)","tf.Tensor([[ 4.98451051e+02 -7.65179673e-02 -2.01158156e+04  1.22958955e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.5528772920705021, shape=(), dtype=float64)","tf.Tensor(56.66724053035991, shape=(), dtype=float64)",0.062,"tf.Tensor(0.0006320243395521125, shape=(), dtype=float64)","tf.Tensor(7.366582652609438, shape=(), dtype=float64)","tf.Tensor([[ 5.14288963e+02 -7.92442613e-02 -2.07521409e+04  1.26829475e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.6095445326008619, shape=(), dtype=float64)","tf.Tensor(60.52832704563543, shape=(), dtype=float64)",0.063,"tf.Tensor(0.001540021855235237, shape=(), dtype=float64)","tf.Tensor(6.475958670946108, shape=(), dtype=float64)","tf.Tensor([[ 5.30012258e+02 -8.20026565e-02 -2.13836026e+04  1.30667694e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.6700728596464973, shape=(), dtype=float64)","tf.Tensor(64.50224745602927, shape=(), dtype=float64)",0.064,"tf.Tensor(0.003699172377017365, shape=(), dtype=float64)","tf.Tensor(5.5996461662396815, shape=(), dtype=float64)","tf.Tensor([[ 5.45620120e+02 -8.47980799e-02 -2.20101636e+04  1.34473219e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.7345751071025266, shape=(), dtype=float64)","tf.Tensor(68.58627194122141, shape=(), dtype=float64)",0.065,"tf.Tensor(0.008729782671698539, shape=(), dtype=float64)","tf.Tensor(4.7410148038622, shape=(), dtype=float64)","tf.Tensor([[ 5.61111743e+02 -8.76357962e-02 -2.26317873e+04  1.38245655e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.803161379043748, shape=(), dtype=float64)","tf.Tensor(72.77754021083301, shape=(), dtype=float64)",0.066,"tf.Tensor(0.02020117202804523, shape=(), dtype=float64)","tf.Tensor(3.9020146550677843, shape=(), dtype=float64)","tf.Tensor([[ 5.76486336e+02 -9.05214159e-02 -2.32484377e+04  1.41984608e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.875938919254581, shape=(), dtype=float64)","tf.Tensor(77.07306431688018, shape=(), dtype=float64)",0.067,"tf.Tensor(0.04579578347741798, shape=(), dtype=float64)","tf.Tensor(3.0835632559119652, shape=(), dtype=float64)","tf.Tensor([[ 5.91743120e+02 -9.34609035e-02 -2.38600797e+04  1.45689684e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(0.9530119835714612, shape=(), dtype=float64)","tf.Tensor(81.46973159431153, shape=(), dtype=float64)",0.068,"tf.Tensor(0.10168606778417111, shape=(), dtype=float64)","tf.Tensor(2.285864978584712, shape=(), dtype=float64)","tf.Tensor([[ 6.06881327e+02 -9.64605859e-02 -2.44666786e+04  1.49360487e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.0344817151657728, shape=(), dtype=float64)","tf.Tensor(85.96430772671854, shape=(), dtype=float64)",0.069,"tf.Tensor(0.2212030481197845, shape=(), dtype=float64)","tf.Tensor(1.5086742295022066, shape=(), dtype=float64)","tf.Tensor([[ 6.21900206e+02 -9.95271597e-02 -2.50682003e+04  1.52996625e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.1204460228924913, shape=(), dtype=float64)","tf.Tensor(90.55343993418438, shape=(), dtype=float64)",0.07,"tf.Tensor(0.4716732578856766, shape=(), dtype=float64)","tf.Tensor(0.7514687833546264, shape=(), dtype=float64)","tf.Tensor([[ 6.36799012e+02 -1.02667698e-01 -2.56646116e+04  1.56597704e+01]], shape=(1, 4), dtype=float64)"
"tf.Tensor(1.2109994628266756, shape=(), dtype=float64)","tf.Tensor(95.23366028011588, shape=(), dtype=float64)",0.07100000000000001,"tf.Tensor(0.9865190504951393, shape=(), dtype=float64)","tf.Tensor(0.013572642509636534, shape=(), dtype=float64)","tf.Tensor([[ 6.51577018e+02 -1.05889658e-01 -2.62558795e+04  1.60163331e+01]], shape=(1, 4), dtype=float64)"
